Fortigate Model;ASIC version;CPU model;Number of CPUs/threads for Intel CPUs;Memory (RAM) size (MB);Compact Flash size (MB);Hard disk size (MB);Firewall Throughput (1518/512/64 byte UDP);IPsec VPN Throughput (512 byte);IPS Throughput (Enterprise Mix);NGFW Throughput (Enterprise Mix);Threat Protection Throughput (Ent. Mix);Firewall Latency;Concurrent Sessions;New Sessions/Sec;Firewall Policies;Max G/W to G/W IPSEC Tunnels;Max Client to G/W IPSEC Tunnels;SSL VPN Throughput;"Concurrent SSL VPN Users (Recommended Maximum; Tunnel Mode)";"SSL Inspection Throughput (IPS; avg. HTTPS)";Application Control Throughput (HTTP 64K);Max FortiAPs (Total / Tunnel);Max FortiSwitches;Max FortiTokens;Virtual Domains (Default/Max);Interfaces;Local Storage;Power Supplies;Form Factor;Variants
Fortigate-101E;SOC3;ARMv7;4;3040;3662 (EMMC);457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-100F;SOC4;ARMv8;8;3616;3663 (EMMC);;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-100F 2nd revision (2022);SOC4;ARMv8;8;7588;3742 (MLC);;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-101F;SOC4;ARMv8;8;3616;3662 (EMMC);457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-101F 2nd revision (2022);SOC4;ARMv8;8;7587;3662 (MLC);457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-120G;SOC5;ARMv8;8;7486;9982 (MLC);;39/39/28 Gbps;35 Gbps;5.3 Gbps;3.1 Gbps;2.8 Gbps;3.17 μs;3 Million;"140;000";"10;000";"2;000";"16;000";1.5 Gbps;500;3 Gbps;6.7 Gbps;128/64;48;"5;000";10/10;"4x 10 GE SFP+; 18x GE RJ45; 8x GE SFP";480 GB (121G);Dual AC PS;1 RU;—
FortiGate-121G;"SOC5; NP7LITE";ARMv8;8;7486;9982 (MLC);457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-140D;CP8;Intel® Atom™ CPU D525 @ 1.80GHz;4;3955;1917;30533;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-200D;CP8;Intel® Celeron® CPU G540 @ 2.50GHz;2;3947;15331;61057;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-200E;CP9;Intel® Celeron® CPU G1820 @ 2.70GHz;2;3962;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-201E;CP9;Intel® Celeron® CPU G1820 @ 2.70GHz;2;3962;15331;457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-200F;CP9;Intel® Xeon® CPU D-1627 @ 2.90GHz;8;7979;28738;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-200G;CP10;Intel® Xeon® D-1726 CPU @ 2.90GHz;12;22671;61296;;39/39/26.5 Gbps;36 Gbps;9 Gbps;7 Gbps;6 Gbps;4.36 μs;11 Million;"400;000";"10;000";"2;000";"16;000";3 Gbps;500;7 Gbps;27.8 Gbps;256/128;64;"5;000";10/25;"8x 10 GE SFP+; 8x 5GE RJ45; 10x GE RJ45; 4x GE SFP";480 GB (201G);Dual AC PS;1 RU;—
FortiGate-201G;CP10;Intel® Xeon® D-1726 CPU @ 2.90GHz;12;22671;61296;457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-240D;CP8;Intel® Celeron® CPU G540 @ 2.50GHz;2;3947;15331;61057;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-300D;CP8;Intel Core i3-3220 (Ivy Bridge) @ 3.3Ghz;4;7996;15331;114473;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-300E;CP9;Intel® Core™ i5-6500 CPU @ 3.20GHz;4;7980;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-301E;CP9;Intel® Core™ i5-6500 CPU @ 3.20GHz;4;7980;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-400D;CP8;Intel® Core™ i3-3220 @ 3.30GHz;unknown;7996;15331;;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-400E;CP9;Intel® Core™ i5-8500 @ 3.00GHz;unknown;7996;15331;;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-401E;CP9;Intel® Core™ i5-8500 @ 3.00GHz;unknown;7996;15331;457862;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-400F;CP9;Intel® Xeon® E-2336 CPU @ 2.90GHz;12;16010;28738;;79.5/78.5/70 Gbps;55 Gbps;12 Gbps;10 Gbps;9 Gbps;4.19 μs / 2.5 μs;7.8 Million;"500;000";"10;000";"2;000";"50;000";3.6 Gbps;"5;000";8 Gbps;28 Gbps;512/256;96;"5;000";10/25;"8x 10GE SFP+; 8x GE SFP; 18x GE RJ45";960 GB (401F);Dual AC PS;1 RU;DC
Fortigate-401F;CP9;Intel® Xeon® E-2336 CPU @ 2.90GHz;12;16010;28738;457862;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-500D;CP8;Intel® Xeon® E3-1225 V2 @ 3.20GHz;4;7996;15331;114473;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-500E;CP9;Intel® Core™ i7-6700 CPU @ 3.40GHz;8;16048;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-501E;CP9;Intel® Core™ i7-6700 CPU @ 3.40GHz;8;16048;15331;228936;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-600D;CP8;Intel® Core™ i7-3770 CPU @ 3.40GHz;8;7996;15331;114473;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-600E;CP9;Intel® Core™ i7-8700 CPU @ 3.20Ghz;12;16031;15331;;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-601E;CP9;Intel® Core™ i7-8700 CPU @ 3.20Ghz;12;16031;15331;228936/447000;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-600F;CP9;Intel® Xeon® E-2386G CPU @ 3.50GHz;12;15995;28738;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-601F;CP9;Intel® Xeon® E-2386G CPU @ 3.50GHz;12;15995;28738;228936;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-800D;CP8;Intel® Core™ i5-4690S CPU @ 3.20GHz;4;7997;15331;228936;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-900D;CP8;Intel® Xeon® CPU E3-1225 v3 @ 3.20GHz;4;16064;1925;244198;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-900G;CP9;AMD Ryzen Embedded 5950E 16-Core Processor;32;32128;28738;;164/163/153 Gbps;55 Gbps;42 Gbps;31 Gbps;30 Gbps;3.78 / 2.5 μs;16 Million;"720;000";"50;000";"2;000";"50;000";10 Gbps;"10;000";16.7 Gbps;74.8 Gbps;2048/1024;196;"5;000";10/50;"4x 25 GE SFP28; 4x 10 GE SFP+; 1x 2.5GE RJ45; 8x GE SFP; 17x GE RJ45";960 GB (901G);Dual PS;1 RU;DC
FortiGate-901G;CP9;AMD Ryzen Embedded 5950E 16-Core Processor;32;32127;28738;457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-1000D;CP8;Intel® Xeon® CPU E3-1275 v3 @ 3.50GHz;8;15979;3840;114473/244198;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-1000F;CP9;Intel® Xeon® E-2388G CPU @ 3.20GHz;16;16009;28738;;198/196/134 Gbps;55 Gbps;19 Gbps;15 Gbps;13 Gbps;3.45 μs;7.5 Million;"650;000";"100;000";"20;000";"100;000";5.3 Gbps;"10;000";10 Gbps;44 Gbps;4096/2048;196;"20;000";10/250;"2x 100 GE QSFP28; 8x 25 GE SFP28; 16x10 GE SFP+; 8x 10GE RJ45; 1x 2.5GE RJ45; 1x GE RJ45";960 GB (1001F);Dual PS;2 RU;—
FortiGate-1101E;CP9;Intel® Xeon® E-2186G CPU @ 3.80GHz;12;16048;15331;457862/915724;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-1200D;CP8;Intel® Xeon® CPU E5-1620 v2 @ 3.70GHz;8;16064;15331;228936;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-1500D;CP8;Intel® Xeon® CPU E5-1650 0 @ 3.20GHz;12;16064;30653;2x228936;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-1800F;CP9;Intel® Xeon® W-3223 CPU @ 3.50GHz;16;24102;28738;;198/197/140 Gbps;55 Gbps;22 Gbps;17 Gbps;15 Gbps;3.22 μs;12 Million / 40 Million;"750;000 / 2 Million";"100;000";"20;000";"100;000";11 Gbps;"10;000";12 Gbps;34 Gbps;4096/2048;196;"20;000";10/250;"4x 100 GE QSFP28; 12x 25 GE SFP28; 2x10 GE SFP+; 8x GE SFP; 18x GE RJ45";2x 960 GB (1801F);Dual PS;2 RU;DC
FortiGate-1801F;CP9;Intel® Xeon® W-3223 CPU @ 3.50GHz;16;24101;28738;953869;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-2000E;CP9;Intel® Xeon® CPU E5-1650 v4 @ 3.60GHz;12;32198;15331;457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-2200E;CP9;Intel® Xeon® Gold 6126 CPU @ 2.60GHz;24;48294;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-2201E;CP9;Intel® Xeon® Gold 6126 CPU @ 2.60GHz;24;48294;15331;2x915715;;;;;;;;;;;;;;;;;;;;;;;;
